Time[s], 通道 0, 通道 1
0.8264357, 0, 0
0.8264373, 0, 1
0.8264383, 0, 0
0.8264399, 0, 1
0.8264409, 0, 0
0.8264426, 0, 1
0.8264435, 0, 0
0.8264452, 0, 1
0.8264462, 0, 0
0.8264478, 0, 1
0.8264488, 0, 0
0.8264490, 1, 0
0.8264504, 1, 1
0.8264514, 1, 0
0.8264516, 0, 0
0.8264531, 0, 1
0.8264540, 0, 0
0.8264542, 1, 0
0.8264557, 1, 1
0.8264567, 0, 0
0.8264709, 0, 1
0.8264719, 0, 0
0.8264785, 0, 1
0.8264795, 0, 0
0.8264796, 1, 0
0.8264811, 1, 1
0.8264821, 1, 0
0.8264822, 0, 0
0.8264837, 0, 1
0.8264847, 0, 0
0.8264864, 0, 1
0.8264874, 0, 0
0.8264890, 0, 1
0.8264900, 0, 0
0.8264916, 0, 1
0.8264926, 0, 0
0.8264927, 1, 0
0.8264942, 1, 1
0.8264952, 1, 0
0.8264969, 1, 1
0.8264979, 1, 0
0.8264987, 0, 0
0.8265075, 0, 1
0.8265085, 0, 0
0.8265101, 0, 1
0.8265111, 0, 0
0.8265127, 0, 1
0.8265137, 0, 0
0.8265154, 0, 1
0.8265164, 0, 0
0.8265180, 0, 1
0.8265190, 0, 0
0.8265206, 0, 1
0.8265216, 0, 0
0.8265232, 0, 1
0.8265242, 0, 0
0.8265243, 1, 0
0.8265259, 1, 1
0.8265269, 1, 0
0.8265285, 1, 1
0.8265295, 1, 0
0.8265303, 0, 0
0.8265398, 0, 1
0.8265408, 0, 0
0.8265494, 0, 1
0.8265504, 0, 0
0.8265520, 0, 1
0.8265530, 0, 0
0.8265546, 0, 1
0.8265556, 0, 0
0.8265572, 0, 1
0.8265582, 0, 0
0.8265599, 0, 1
0.8265609, 0, 0
0.8265625, 0, 1
0.8265635, 0, 0
0.8265651, 0, 1
0.8265661, 0, 0
0.8265677, 0, 1
0.8265687, 0, 0
0.8265688, 1, 0
0.8265695, 0, 0
0.8265806, 0, 1
0.8265816, 0, 0
0.8265903, 0, 1
0.8265912, 0, 0
0.8265929, 0, 1
0.8265939, 0, 0
0.8265955, 0, 1
0.8265965, 0, 0
0.8265981, 0, 1
0.8265991, 0, 0
0.8266007, 0, 1
0.8266017, 0, 0
0.8266034, 0, 1
0.8266044, 0, 0
0.8266060, 0, 1
0.8266070, 0, 0
0.8266086, 0, 1
0.8266096, 0, 0
0.8266097, 1, 0
0.8266104, 0, 0
0.8266217, 0, 1
0.8266227, 0, 0
0.8266313, 0, 1
0.8266322, 0, 0
0.8266339, 0, 1
0.8266349, 0, 0
0.8266350, 1, 0
0.8266365, 1, 1
0.8266375, 1, 0
0.8266376, 0, 0
0.8266391, 0, 1
0.8266401, 0, 0
0.8266402, 1, 0
0.8266417, 1, 1
0.8266427, 1, 0
0.8266444, 1, 1
0.8266454, 1, 0
0.8266470, 1, 1
0.8266480, 1, 0
0.8266481, 0, 0
0.8266496, 0, 1
0.8266506, 0, 0
0.8266507, 1, 0
0.8266514, 0, 0
0.8266627, 0, 1
0.8266637, 0, 0
0.8266723, 0, 1
0.8266733, 0, 0
0.8266734, 1, 0
0.8266749, 1, 1
0.8266759, 1, 0
0.8266760, 0, 0
0.8266776, 0, 1
0.8266785, 0, 0
0.8266786, 1, 0
0.8266802, 1, 1
0.8266812, 1, 0
0.8266828, 1, 1
0.8266838, 1, 0
0.8266839, 0, 0
0.8266854, 0, 1
0.8266864, 0, 0
0.8266881, 0, 1
0.8266890, 0, 0
0.8266907, 0, 1
0.8266917, 0, 0
0.8266918, 1, 0
0.8266925, 0, 0
0.8267023, 1, 0
0.8267031, 1, 1
0.8267041, 1, 0
0.8267049, 0, 0
0.8267058, 0, 1
0.8267068, 1, 1
0.8272573, 0, 1
0.8272581, 0, 0
0.8272598, 0, 1
0.8272607, 0, 0
0.8272624, 0, 1
0.8272634, 0, 0
0.8272650, 0, 1
0.8272660, 0, 0
0.8272676, 0, 1
0.8272686, 0, 0
0.8272703, 0, 1
0.8272712, 0, 0
0.8272715, 1, 0
0.8272729, 1, 1
0.8272739, 1, 0
0.8272741, 0, 0
0.8272755, 0, 1
0.8272765, 0, 0
0.8272781, 0, 1
0.8272791, 0, 0
0.8272865, 0, 1
0.8272875, 0, 0
0.8272876, 1, 0
0.8272883, 0, 0
0.8272940, 1, 0
0.8272948, 1, 1
0.8272957, 1, 0
0.8272959, 0, 0
0.8272974, 0, 1
0.8272984, 0, 0
0.8273000, 0, 1
0.8273010, 0, 0
0.8273026, 0, 1
0.8273036, 0, 0
0.8273053, 0, 1
0.8273062, 0, 0
0.8273079, 0, 1
0.8273089, 0, 0
0.8273091, 1, 0
0.8273105, 1, 1
0.8273115, 1, 0
0.8273117, 0, 0
0.8273131, 0, 1
0.8273141, 0, 0
0.8273143, 1, 0
0.8273226, 0, 0
0.8273228, 0, 1
0.8273237, 0, 0
0.8273239, 1, 0
0.8273246, 0, 0
0.8273307, 0, 1
0.8273317, 1, 1
