Time[s], 通道 0, 通道 1
1.8388960, 0, 1
1.8389030, 0, 0
1.8389088, 0, 1
1.8389157, 0, 0
1.8389214, 0, 1
1.8389283, 0, 0
1.8389339, 0, 1
1.8389411, 0, 0
1.8389468, 0, 1
1.8389537, 0, 0
1.8389595, 0, 1
1.8389665, 0, 0
1.8389723, 0, 1
1.8389791, 0, 0
1.8389849, 0, 1
1.8389920, 0, 0
1.8389978, 0, 1
1.8390049, 0, 0
1.8390107, 0, 1
1.8390175, 0, 0
1.8390232, 0, 1
1.8390302, 0, 0
1.8390359, 0, 1
1.8390360, 0, 0
1.8390361, 0, 1
1.8390429, 0, 0
1.8390486, 0, 1
1.8390555, 0, 0
1.8390612, 0, 1
1.8390684, 0, 0
1.8390742, 0, 1
1.8390811, 0, 0
1.8390869, 0, 1
1.8390939, 0, 0
1.8390996, 0, 1
1.8391065, 0, 0
1.8391123, 0, 1
1.8391191, 0, 0
1.8391248, 0, 1
1.8391319, 0, 0
1.8391377, 0, 1
1.8391446, 0, 0
1.8391504, 0, 1
1.8391575, 0, 0
1.8391633, 0, 1
1.8391702, 0, 0
1.8391758, 0, 1
1.8391831, 0, 0
1.8391890, 0, 1
1.8391960, 0, 0
1.8392017, 0, 1
1.8392086, 0, 0
1.8392142, 0, 1
1.8392213, 0, 0
1.8392271, 0, 1
1.8392340, 0, 0
1.8392398, 0, 1
1.8392468, 0, 0
1.8392525, 0, 1
1.8392596, 0, 0
1.8392653, 0, 1
1.8392720, 0, 0
1.8392777, 0, 1
1.8392849, 0, 0
1.8392907, 0, 1
1.8392976, 0, 0
1.8393034, 0, 1
1.8393105, 0, 0
1.8393163, 0, 1
1.8393231, 0, 0
1.8393289, 0, 1
1.8393358, 0, 0
1.8393415, 0, 1
1.8393485, 0, 0
1.8393543, 0, 1
1.8393612, 0, 0
1.8393669, 0, 1
1.8393741, 0, 0
1.8393799, 0, 1
1.8393868, 0, 0
1.8393926, 0, 1
1.8393995, 0, 0
1.8394053, 0, 1
1.8394124, 0, 0
1.8394182, 0, 1
1.8394250, 0, 0
1.8394308, 0, 1
1.8394377, 0, 0
1.8394434, 0, 1
1.8394502, 0, 0
1.8394559, 0, 1
1.8394628, 0, 0
1.8394686, 0, 1
1.8394757, 0, 0
1.8394814, 0, 1
1.8394882, 0, 0
1.8394939, 0, 1
1.8395009, 0, 0
1.8395066, 0, 1
1.8395134, 0, 0
1.8395191, 0, 1
1.8395263, 0, 0
1.8395321, 0, 1
1.8395390, 0, 0
1.8395447, 0, 1
1.8395517, 0, 0
1.8395575, 0, 1
1.8395646, 0, 0
1.8395704, 0, 1
1.8395773, 0, 0
1.8395831, 0, 1
1.8395902, 0, 0
1.8395959, 0, 1
1.8396027, 0, 0
1.8396084, 0, 1
1.8396154, 0, 0
1.8396211, 0, 1
1.8396282, 0, 0
1.8396339, 0, 1
1.8396408, 0, 0
1.8396464, 0, 1
1.8396465, 0, 0
1.8396466, 0, 1
1.8396535, 0, 0
1.8396593, 0, 1
1.8396662, 0, 0
1.8396718, 0, 1
1.8396791, 0, 0
1.8396849, 0, 1
1.8396920, 0, 0
1.8396978, 0, 1
1.8397045, 0, 0
1.8397102, 0, 1
1.8397171, 0, 0
1.8397228, 0, 1
1.8397298, 0, 0
1.8397356, 0, 1
1.8397427, 0, 0
1.8397484, 0, 1
1.8397553, 0, 0
1.8397611, 0, 1
1.8397678, 0, 0
1.8397735, 0, 1
1.8397805, 0, 0
1.8397863, 0, 1
1.8397933, 0, 0
