Time[s], 通道 0, 通道 1
10.3475319, 0, 0
10.3475321, 1, 0
10.3475336, 1, 1
10.3475345, 1, 0
10.3475347, 0, 0
10.3475362, 0, 1
10.3475372, 0, 0
10.3475374, 1, 0
10.3475457, 0, 0
10.3475458, 0, 1
10.3475468, 0, 0
10.3475469, 1, 0
10.3475476, 0, 0
10.3475538, 0, 1
10.3475548, 1, 1
10.6209331, 0, 1
10.6209339, 0, 0
10.6209355, 0, 1
10.6209365, 0, 0
10.6209382, 0, 1
10.6209391, 0, 0
10.6209408, 0, 1
10.6209418, 0, 0
10.6209434, 0, 1
10.6209444, 0, 0
10.6209460, 0, 1
10.6209470, 0, 0
10.6209472, 1, 0
10.6209487, 1, 1
10.6209496, 1, 0
10.6209498, 0, 0
10.6209513, 0, 1
10.6209523, 0, 0
10.6209539, 0, 1
10.6209549, 0, 0
10.6209623, 0, 1
10.6209632, 0, 0
10.6209633, 1, 0
10.6209640, 0, 0
10.6209697, 1, 0
10.6209705, 1, 1
10.6209715, 1, 0
10.6209716, 0, 0
10.6209731, 0, 1
10.6209741, 0, 0
10.6209757, 0, 1
10.6209767, 0, 0
10.6209784, 0, 1
10.6209793, 0, 0
10.6209795, 1, 0
10.6209810, 1, 1
10.6209820, 1, 0
10.6209821, 0, 0
10.6209836, 0, 1
10.6209846, 0, 0
10.6209862, 0, 1
10.6209872, 0, 0
10.6209889, 0, 1
10.6209898, 0, 0
10.6209900, 1, 0
10.6209983, 0, 0
10.6209985, 0, 1
10.6209995, 0, 0
10.6209996, 1, 0
10.6210003, 0, 0
10.6210067, 0, 1
10.6210077, 0, 0
10.6210094, 0, 1
10.6210103, 0, 0
10.6210120, 0, 1
10.6210130, 0, 0
10.6210146, 0, 1
10.6210156, 0, 0
10.6210172, 0, 1
10.6210182, 0, 0
10.6210199, 0, 1
10.6210208, 0, 0
10.6210225, 0, 1
10.6210235, 0, 0
10.6210237, 1, 0
10.6210251, 1, 1
10.6210261, 1, 0
10.6210262, 0, 0
10.6210347, 0, 1
10.6210357, 0, 0
10.6210358, 1, 0
10.6210365, 0, 0
10.6210427, 0, 1
10.6210437, 1, 1
13.9192053, 0, 1
13.9192061, 0, 0
13.9192077, 0, 1
13.9192087, 0, 0
13.9192104, 0, 1
13.9192114, 0, 0
13.9192130, 0, 1
13.9192140, 0, 0
13.9192156, 0, 1
13.9192166, 0, 0
13.9192182, 0, 1
13.9192192, 0, 0
13.9192194, 1, 0
13.9192209, 1, 1
13.9192219, 1, 0
13.9192220, 0, 0
13.9192235, 0, 1
13.9192245, 0, 0
13.9192261, 0, 1
13.9192271, 0, 0
13.9192345, 0, 1
13.9192355, 0, 0
13.9192356, 1, 0
13.9192363, 0, 0
13.9192419, 1, 0
13.9192427, 1, 1
13.9192437, 1, 0
13.9192439, 0, 0
13.9192454, 0, 1
13.9192464, 0, 0
13.9192466, 1, 0
13.9192480, 1, 1
13.9192490, 1, 0
13.9192492, 0, 0
13.9192506, 0, 1
13.9192516, 0, 0
13.9192532, 0, 1
13.9192542, 0, 0
13.9192559, 0, 1
13.9192569, 0, 0
13.9192571, 1, 0
13.9192585, 1, 1
13.9192595, 1, 0
13.9192597, 0, 0
13.9192611, 0, 1
13.9192621, 0, 0
13.9192623, 1, 0
13.9192706, 0, 0
13.9192708, 0, 1
13.9192717, 0, 0
13.9192718, 1, 0
13.9192725, 0, 0
13.9192790, 0, 1
13.9192800, 0, 0
13.9192816, 0, 1
13.9192826, 0, 0
13.9192842, 0, 1
13.9192852, 0, 0
13.9192869, 0, 1
13.9192879, 0, 0
13.9192895, 0, 1
13.9192905, 0, 0
13.9192921, 0, 1
13.9192931, 0, 0
13.9192947, 0, 1
13.9192957, 0, 0
13.9192974, 0, 1
13.9192984, 0, 0
