Time[s],Packet ID,Address,Read/Write,Data
1.8582174000,53,0x05,R,0x46 0xAE 0x00 0xB3 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x33 0x32 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x5A 0x62 0xC6 0x58 0x00 0x00
1.8661790000,54,0x04,W,0x82
1.9037198000,55,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x0B 0x01
1.9086792000,56,0x05,R,0x46 0x00 0x00
1.9089202000,57,0x04,W,0x82
1.9536974000,58,0x04,W,0xA7 0x01 0x00 0x0F 0x00 0x38
1.9591434000,59,0x05,R,0x46 0x0F 0x00 0x08 0x24 0xDD 0x2D 0xB0 0x1F 0x52 0xF8 0x1F 0xC5 0xEC 0x03 0x2D 0x64 0x00
1.9605518000,60,0x04,W,0x82
2.0037150000,61,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x10 0x01
2.0096078000,62,0x05,R,0x46 0x00 0x00
2.0098490000,63,0x04,W,0x82
2.0536910000,64,0x04,W,0xA7 0x01 0x00 0x0E 0x01 0x38
2.0600720000,65,0x05,R,0x46 0x0E 0x01 0x92 0x09 0xA3 0x99 0x7A 0x96 0xA3 0xFD 0x66 0xAD 0x4E 0xFC 0x39 0x0A 0x41 0xB9 0x0A 0x41 0xBF 0xFF 0xFF 0xB9 0x0A 0x41 0xB9 0x0A 0x41 0xB9 0x0A 0x41 0xB9 0x0A 0x41 0xAD 0x4E 0xFC 0x23 0xFD 0x66 0x99 0x7A 0x96 0x99 0x7A 0x96 0x9C 0x96 0x77 0x1C 0x96 0x77 0x1C 0x96 0x77 0x1C 0x96 0x77 0x1C 0x96 0x77 0x1C 0x96 0x77 0x1C 0x96 0x77 0x16 0xB5 0x43 0x16 0xB5 0x43 0x16 0xB5 0x43 0x16 0xB5 0x43 0x14 0x3D 0x13 0x94 0x3D 0x13 0x94 0x3D 0x13 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x92 0x09 0xA3 0x90 0x13 0x79 0x90 0x13 0x79 0x8E 0x53 0xEB 0x8E 0x53 0xEB 0x8C 0xC5 0x09 0x8C 0xC5 0x09 0x8C 0xC5 0x09 0x8C 0xC5 0x09 0x8C 0xC5 0x09 0x8B 0x61 0x88 0xF9 0xF8 0x42 0x0C 0x30 0xE3 0x0C 0x30 0xC2 0x05 0xFF 0xE0 0x00 0x00 0x00 0x00 0x07 0xDF 0x7D 0xF7 0xBE 0xFB 0xE7 0x9E 0x79 0xE7 0x9E 0x79 0xE7 0x9D 0xF7 0xD7 0x5C 0xF3 0xCF 0x3C 0xF0 0x03 0xE8 0x2E 0xE1 0x38 0x86 0xD6 0x23 0x28 0xAB 0xE3 0x2C 0x8E 0xA6 0x42 0x69 0x28 0xE5 0x20 0x96 0x76 0x61 0xA9 0xA5 0xE7 0x14 0x9E 0x46 0x80 0xEA 0x22 0xE9 0x08 0xA6 0x16 0xA0 0x2A 0x9F 0xEA 0xFC 0xAD 0xE6 0xBF 0x6B 0x1C 0xEC 0xF0 0xB5 0xB6 0xDE 0xAB 0x99 0xEE 0xE4 0xBD 0x86 0xFD 0xEC 0x16 0xF0 0xD8 0xC5 0x57 0x1D 0x2C 0x93 0xF2 0xCC 0xCD 0x27 0x3C 0x6D 0x10 0xF4 0xC0 0xD4 0xF7 0x5B 0xAD 0x8D 0xF6 0xB4 0xDC 0xC7 0x88 0x00
2.0723852000,66,0x04,W,0x82
2.1287030000,67,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x06 0x01
2.1307230000,68,0x05,R,0x46 0x00 0x00
2.1309642000,69,0x04,W,0x82
2.1786922000,70,0x04,W,0xA7 0x01 0x00 0x12 0x00 0x38
2.1811856000,71,0x05,R,0x46 0x12 0x00 0x36 0x00 0x00 0x00 0x00 0x02 0x86 0x82 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
2.1822222000,72,0x04,W,0x82
2.2287024000,73,0x04,W,0xA7 0x02 0x00 0x00 0x00 0x12 0x01
2.2316468000,74,0x05,R,0x46 0x00 0x00
2.2318878000,75,0x04,W,0x82
2.3286846000,76,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
2.3325688000,77,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
2.3334318000,78,0x04,W,0x82
2.3786906000,79,0x04,W,0xA7 0x01 0x00 0x00 0x00 0x0C
2.3830302000,80,0x05,R,0x46 0x00 0x00
2.3832712000,81,0x04,W,0x82
2.4786788000,82,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
2.4839508000,83,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
2.4848144000,84,0x04,W,0x82
2.5286940000,85,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
2.5344106000,86,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
2.5352734000,87,0x04,W,0x82
2.5786944000,88,0x04,W,0xA7 0x01 0x00 0x00 0x00 0x35
2.5848702000,89,0x05,R,0x46 0x00 0x00
2.5851112000,90,0x04,W,0x82
2.6786704000,91,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
2.6857908000,92,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
2.6861990000,93,0x04,W,0x82
2.7287036000,94,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x06 0x00 0x30
2.7362508000,95,0x05,R,0x46 0x00 0x00
2.7364920000,96,0x04,W,0x82
2.7786858000,97,0x04,W,0xA7 0x01 0x00 0x30 0x00 0x09
2.7867116000,98,0x05,R,0x46 0x30 0x00 0xFF 0xFF 0xFF 0xFF 0x33 0xFA 0xFF 0xFF 0xFF 0xFF 0x1E 0xBA 0x2F 0x32 0x6D 0x56 0xB4 0xEF 0x05 0xD8 0xAC 0xFD 0xFD 0x94 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xCB 0x0C 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0xFF 0x00 0x00
2.7890828000,99,0x04,W,0x82
2.8286962000,100,0x04,W,0xA7 0x02 0x00 0x00 0x00 0x12 0x02
2.8371722000,101,0x05,R,0x46 0x00 0x00
2.8374132000,102,0x04,W,0x82
2.9286694000,103,0x04,W,0xA7 0x01 0x00 0x03 0x00 0x02
2.9380918000,104,0x05,R,0x46 0x03 0x00 0x01 0x00 0x1A
2.9389540000,105,0x04,W,0x82
2.9787022000,106,0x04,W,0xA7 0x03 0x00 0x00 0x00 0x37 0x05 0x02
2.9885526000,107,0x05,R,0x46 0x00 0x00
2.9887936000,108,0x04,W,0x82
3.0286838000,109,0x04,W,0xA7 0x01 0x00 0x0F 0x00 0x38
3.0390124000,110,0x05,R,0x46 0x0F 0x00 0x7F 0xFF 0xFF 0x00 0x00 0x00 0xC0 0x00 0x14 0x80 0xCC 0xCC 0x80 0x00 0x00
3.0404202000,111,0x04,W,0x82
